time,mode,center_x,center_y,center_z,formation_error,min_obstacle_clearance,min_agent_distance,energy,path_length,max_height,avg_force_norm,min_pair_distance
0.0,column,-5.4,0.0,1.2,0.794399688893766,3.2163083384538815,0.8037115436470766,1.8297747946611065,0.03192920950978327,1.2,2.5543367607826637,0.8037115436470766
0.05,column,-5.3790000000000004,0.0,1.2,0.7818599783314818,3.2088344102451343,0.8112512198552672,3.6443565364542945,0.09520640168923385,1.2,2.5080064508932245,0.8112512198552672
0.1,column,-5.3580000000000005,0.0,1.2,0.7639558679078702,3.1938807129898352,0.8227956765170197,5.447756112092668,0.18912676435165637,1.2,2.4521503644349516,0.8227956765170197
0.15000000000000002,column,-5.337000000000001,0.0,1.2,0.7409588975049533,3.171438492004225,0.8385848960807839,7.249152591968789,0.313442188036091,1.2,2.433424301053245,0.8385848960807839
0.2,column,-5.316000000000001,0.0,1.2,0.713677325544889,3.1415003216993,0.8589238689801285,9.04987653977326,0.4680191255843129,1.2,2.4240657067956923,0.8589238689801285
0.25,column,-5.295000000000001,0.0,1.2,0.6844444537054463,3.1040659218150584,0.8854356419640214,10.850134660185141,0.652497242645268,1.2,2.414369980149732,0.8854356419640214
0.30000000000000004,column,-5.274,0.0,1.2,0.6550757549730492,3.059135081516903,0.9190508287831572,12.45011898705313,0.8633293776514502,1.2,2.3091409957441003,0.9190508287831572
0.35000000000000003,column,-5.253,0.0,1.2,0.6258325660314613,3.0067076804734754,0.9591112047682178,13.941886879975119,1.080282851183023,1.2,2.381175444284099,0.9591112047682178
0.4,column,-5.232,0.0,1.2,0.5980485323150371,2.9542592436884405,1.0058985902703834,15.604284305585056,1.30447414014216,1.2,2.540619253784224,1.0058985902703834
0.45,column,-5.211,0.0,1.2,0.572195770240738,2.901806430314271,1.0584503001914571,17.42456031272336,1.535419543790743,1.2,2.6528080192151453,1.0584503001914571
0.5,column,-5.19,0.0,1.2,0.5487816056343365,2.8493506195625686,1.1163316960330867,18.817819502982367,1.7737047269526318,1.2,2.1817933052634735,1.1163316960330867
0.55,column,-5.169,0.0,1.2,0.5280388199229422,2.796892974208059,1.1781609781033684,20.072895263743682,2.01926406846331,1.2,2.0993942486313015,1.1781609781033684
0.6000000000000001,column,-5.148000000000001,0.0,1.2,0.5100930850466314,2.7444343177133055,1.2129401611739776,21.566056370460316,2.2704969266035384,1.2,2.2654813828621174,1.2129401611739776
0.65,column,-5.127000000000001,0.0,1.2,0.49411872949683344,2.691975033391744,1.1936695376669664,23.229442778995537,2.524400520075703,1.2,2.5191343403100923,1.1936695376669664
0.7000000000000001,column,-5.106000000000001,0.0,1.2,0.4796482405743566,2.6394785466492854,1.1878720339936297,25.02629704262216,2.7751595538953917,1.2,2.637783125547195,1.1878720339936297
0.75,column,-5.085,0.0,1.2,0.46758570784451814,2.5869840293740474,1.1951101238257293,26.406380429536593,3.020362677038773,1.2,2.227891109062699,1.1951101238257293
0.8,column,-5.064,0.0,1.2,0.4594821431050556,2.5345821176980863,1.214372074395485,27.746926513810138,3.26011517710404,1.2,2.174549235286894,1.214372074395485
0.8500000000000001,column,-5.043,0.0,1.2,0.4569004890743136,2.482370951815507,1.24394858583386,29.275060226657835,3.4887942757673627,1.2,2.3981219358099706,1.24394858583386
0.9,column,-5.022,0.0,1.2,0.4578752842482217,2.4359029441208264,1.2858629613459784,30.75999657016235,3.7068285212129934,1.2,2.3481020993862396,1.2858629613459784
0.9500000000000001,column,-5.001,0.0,1.2,0.4615210429229871,2.395014459378542,1.2915410508979261,32.20138246932715,3.9148514667248886,1.2,2.2970435198501917,1.2915410508979261
1.0,column,-4.9799999999999995,0.0,1.2,0.46749522479076033,2.359513849016781,1.292780355040145,33.60099028178721,4.113895946119963,1.2,2.249110741857981,1.292780355040145
